ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal
113637;"John Kenneth ""Ken"" Spain";M;220;2060;1090;United States;USA;1968 Summer;1968;Summer;Mexico City;Basketball;Basketball Men's Basketball;Gold
115325;John Houston Stockton;M;300;1850;790;United States;USA;1992 Summer;1992;Summer;Barcelona;Basketball;Basketball Men's Basketball;Gold
115325;John Houston Stockton;M;340;1850;790;United States;USA;1996 Summer;1996;Summer;Atlanta;Basketball;Basketball Men's Basketball;Gold
115540;Amar'e Carsares Stoudemire;M;240;2000;1020;United States;USA;2004 Summer;2004;Summer;Athina;Basketball;Basketball Men's Basketball;Bronze
117072;Duane Alexander Swanson;M;220;1880;790;United States;USA;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;Gold
119932;Klay Alexander Thompson;M;260;2000;970;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Basketball;Basketball Men's Basketball;Gold
120501;Wayman Lawrence Tisdale;M;200;2050;1180;United States;USA;1984 Summer;1984;Summer;Los Angeles;Basketball;Basketball Men's Basketball;Gold
121001;"Ronald Paul ""Ron"" Tomsic";M;230;1800;820;United States;USA;1956 Summer;1956;Summer;Melbourne;Basketball;Basketball Men's Basketball;Gold
122786;"Jeffrey Stephen ""Jeff"" Turner";M;220;2050;1040;United States;USA;1984 Summer;1984;Summer;Los Angeles;Basketball;Basketball Men's Basketball;Gold
127833;Dwyane Tyrone Wade, Jr.;M;220;1930;960;United States;USA;2004 Summer;2004;Summer;Athina;Basketball;Basketball Men's Basketball;Bronze
127833;Dwyane Tyrone Wade, Jr.;M;260;1930;960;United States;USA;2008 Summer;2008;Summer;Beijing;Basketball;Basketball Men's Basketball;Gold
128271;"James Patrick ""Jim"" Walsh";M;260;1930;860;United States;USA;1956 Summer;1956;Summer;Melbourne;Basketball;Basketball Men's Basketball;Gold
129769;"Jerome Alan ""Jerry"" West";M;220;1910;810;United States;USA;1960 Summer;1960;Summer;Roma;Basketball;Basketball Men's Basketball;Gold
129792;Russell Westbrook, Jr.;M;230;1910;850;United States;USA;2012 Summer;2012;Summer;London;Basketball;Basketball Men's Basketball;Gold
129925;"William John ""Bill"" Wheatley";M;270;1880;790;United States;USA;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;Gold
129996;"Joseph Henry ""Jo-Jo"" White";M;210;1910;890;United States;USA;1968 Summer;1968;Summer;Mexico City;Basketball;Basketball Men's Basketball;Gold
130580;Deron Michael Williams;M;240;1910;950;United States;USA;2008 Summer;2008;Summer;Beijing;Basketball;Basketball Men's Basketball;Gold
130580;Deron Michael Williams;M;280;1910;950;United States;USA;2012 Summer;2012;Summer;London;Basketball;Basketball Men's Basketball;Gold
130602;"Howard Earl ""Howie"" Williams";M;240;1830;760;United States;USA;1952 Summer;1952;Summer;Helsinki;Basketball;Basketball Men's Basketball;Gold
130843;"George ""Jiff"" Wilson";M;220;2030;950;United States;USA;1964 Summer;1964;Summer;Tokyo;Basketball;Basketball Men's Basketball;Gold
